2022-12-28 18:45:14 crtsurfdata4 开始运行！2022-12-28 18:45:14 provname=安徽,obtid=58015,obtname=砀山,lat=34.27,lon=116.20,height=44.20
2022-12-28 18:45:14 provname=安徽,obtid=58102,obtname=亳州,lat=33.47,lon=115.44,height=39.10
2022-12-28 18:45:14 provname=安徽,obtid=58118,obtname=蒙城,lat=33.16,lon=116.31,height=10.30
2022-12-28 18:45:14 provname=安徽,obtid=58122,obtname=宿州,lat=33.38,lon=116.59,height=25.90
2022-12-28 18:45:14 provname=安徽,obtid=58203,obtname=阜阳,lat=32.52,lon=115.44,height=32.70
2022-12-28 18:45:14 provname=安徽,obtid=58215,obtname=寿县,lat=32.26,lon=116.47,height=25.70
2022-12-28 18:45:14 provname=安徽,obtid=58221,obtname=蚌埠,lat=32.51,lon=117.18,height=26.80
2022-12-28 18:45:14 provname=安徽,obtid=58225,obtname=定远,lat=32.32,lon=117.40,height=69.60
2022-12-28 18:45:14 provname=安徽,obtid=58236,obtname=滁州,lat=32.21,lon=118.15,height=33.50
2022-12-28 18:45:14 provname=安徽,obtid=58311,obtname=六安,lat=31.44,lon=116.30,height=74.10
2022-12-28 18:45:14 provname=安徽,obtid=58314,obtname=霍山,lat=31.24,lon=116.19,height=86.40
2022-12-28 18:45:14 provname=安徽,obtid=58319,obtname=桐城,lat=31.04,lon=116.57,height=85.40
2022-12-28 18:45:14 provname=安徽,obtid=58321,obtname=合肥,lat=31.47,lon=117.18,height=27.00
2022-12-28 18:45:14 provname=安徽,obtid=58326,obtname=巢湖,lat=31.35,lon=117.50,height=30.90
2022-12-28 18:45:14 provname=安徽,obtid=58336,obtname=马鞍山,lat=31.42,lon=118.34,height=80.00
2022-12-28 18:45:14 provname=安徽,obtid=58338,obtname=芜湖县,lat=31.07,lon=118.36,height=40.00
2022-12-28 18:45:14 provname=安徽,obtid=58414,obtname=太湖,lat=30.26,lon=116.19,height=105.10
2022-12-28 18:45:14 provname=安徽,obtid=58419,obtname=东至,lat=30.06,lon=117.01,height=17.60
2022-12-28 18:45:14 provname=安徽,obtid=58424,obtname=安庆,lat=30.37,lon=116.58,height=62.00
2022-12-28 18:45:14 provname=安徽,obtid=58429,obtname=铜陵,lat=30.59,lon=117.51,height=11.00
2022-12-28 18:45:14 provname=安徽,obtid=58436,obtname=宁国,lat=30.37,lon=118.59,height=87.30
2022-12-28 18:45:14 provname=安徽,obtid=58437,obtname=黄山,lat=30.08,lon=118.09,height=1840.40
2022-12-28 18:45:14 provname=安徽,obtid=58520,obtname=祁门,lat=29.51,lon=117.43,height=142.00
2022-12-28 18:45:14 provname=安徽,obtid=58531,obtname=屯溪,lat=29.43,lon=118.17,height=142.70
2022-12-28 18:45:14 provname=北京,obtid=54406,obtname=延庆,lat=40.27,lon=115.58,height=487.90
2022-12-28 18:45:14 provname=北京,obtid=54416,obtname=密云,lat=40.23,lon=116.52,height=71.80
2022-12-28 18:45:14 provname=北京,obtid=54511,obtname=北京,lat=39.48,lon=116.28,height=31.30
2022-12-28 18:45:14 provname=福建,obtid=58725,obtname=邵武,lat=27.20,lon=117.28,height=218.00
2022-12-28 18:45:14 provname=福建,obtid=58730,obtname=武夷山,lat=27.46,lon=118.02,height=222.10
2022-12-28 18:45:14 provname=福建,obtid=58731,obtname=浦城,lat=27.55,lon=118.32,height=276.90
2022-12-28 18:45:14 provname=福建,obtid=58734,obtname=建阳,lat=27.20,lon=118.07,height=196.90
2022-12-28 18:45:14 provname=福建,obtid=58737,obtname=建瓯,lat=27.03,lon=118.19,height=154.90
2022-12-28 18:45:14 provname=福建,obtid=58744,obtname=寿宁,lat=27.27,lon=119.25,height=815.90
2022-12-28 18:45:14 provname=福建,obtid=58754,obtname=福鼎,lat=27.20,lon=120.12,height=36.20
2022-12-28 18:45:14 provname=福建,obtid=58818,obtname=宁化,lat=26.14,lon=116.38,height=358.90
2022-12-28 18:45:14 provname=福建,obtid=58820,obtname=泰宁,lat=26.54,lon=117.10,height=342.90
2022-12-28 18:45:14 provname=福建,obtid=58834,obtname=南平,lat=26.38,lon=118.10,height=152.20
2022-12-28 18:45:14 provname=福建,obtid=58837,obtname=尤溪,lat=26.09,lon=118.09,height=204.80
2022-12-28 18:45:14 provname=福建,obtid=58843,obtname=霞浦,lat=26.53,lon=120.01,height=56.80
2022-12-28 18:45:14 provname=福建,obtid=58846,obtname=宁德,lat=26.40,lon=119.31,height=32.40
2022-12-28 18:45:14 provname=福建,obtid=58847,obtname=福州,lat=26.05,lon=119.17,height=84.00
2022-12-28 18:45:14 provname=福建,obtid=58911,obtname=长汀,lat=25.51,lon=116.22,height=310.00
2022-12-28 18:45:14 provname=福建,obtid=58918,obtname=上杭,lat=25.03,lon=116.25,height=198.00
2022-12-28 18:45:14 provname=福建,obtid=58921,obtname=永安,lat=25.58,lon=117.21,height=206.00
2022-12-28 18:45:14 provname=福建,obtid=58926,obtname=漳平,lat=25.18,lon=117.25,height=205.30
2022-12-28 18:45:14 provname=福建,obtid=58927,obtname=龙岩,lat=25.03,lon=117.01,height=376.00
2022-12-28 18:45:14 provname=福建,obtid=58931,obtname=九仙山,lat=25.43,lon=118.06,height=1653.50
2022-12-28 18:45:14 provname=福建,obtid=58933,obtname=屏南,lat=26.55,lon=118.59,height=869.50
2022-12-28 18:45:14 provname=福建,obtid=58936,obtname=仙游,lat=25.22,lon=118.42,height=77.70
2022-12-28 18:45:14 provname=福建,obtid=58944,obtname=平潭,lat=25.31,lon=119.47,height=32.40
2022-12-28 18:45:14 provname=福建,obtid=59113,obtname=永定,lat=24.44,lon=116.43,height=226.90
2022-12-28 18:45:14 provname=福建,obtid=59126,obtname=漳州,lat=24.30,lon=117.39,height=28.90
2022-12-28 18:45:14 provname=福建,obtid=59133,obtname=崇武,lat=24.54,lon=118.55,height=21.80
2022-12-28 18:45:14 provname=福建,obtid=59134,obtname=厦门,lat=24.29,lon=118.04,height=139.40
2022-12-28 18:45:14 provname=福建,obtid=59321,obtname=东山,lat=23.47,lon=117.30,height=53.30
2022-12-28 18:45:14 provname=甘肃,obtid=52323,obtname=马鬃山,lat=41.48,lon=97.02,height=1770.40
2022-12-28 18:45:14 provname=甘肃,obtid=52418,obtname=敦煌,lat=40.09,lon=94.41,height=1139.00
2022-12-28 18:45:14 provname=甘肃,obtid=52424,obtname=瓜州,lat=40.32,lon=95.47,height=1170.90
2022-12-28 18:45:14 provname=甘肃,obtid=52436,obtname=玉门镇,lat=40.16,lon=97.02,height=1526.00
2022-12-28 18:45:14 provname=甘肃,obtid=52446,obtname=鼎新,lat=40.18,lon=99.31,height=1177.40
2022-12-28 18:45:14 provname=甘肃,obtid=52447,obtname=金塔,lat=40.00,lon=98.53,height=1270.50
2022-12-28 18:45:14 provname=甘肃,obtid=52533,obtname=酒泉,lat=39.46,lon=98.29,height=1477.20
2022-12-28 18:45:14 provname=甘肃,obtid=52546,obtname=高台,lat=39.22,lon=99.50,height=1332.20
2022-12-28 18:45:14 provname=甘肃,obtid=52652,obtname=张掖,lat=39.05,lon=100.17,height=1461.10
2022-12-28 18:45:14 provname=甘肃,obtid=52661,obtname=山丹,lat=38.48,lon=101.05,height=1765.50
2022-12-28 18:45:14 provname=甘肃,obtid=52674,obtname=永昌,lat=38.13,lon=101.56,height=2093.90
2022-12-28 18:45:14 provname=甘肃,obtid=52679,obtname=武威,lat=37.55,lon=102.40,height=1531.50
2022-12-28 18:45:14 provname=甘肃,obtid=52681,obtname=民勤,lat=38.38,lon=103.05,height=1367.50
2022-12-28 18:45:14 provname=甘肃,obtid=52787,obtname=乌鞘岭,lat=37.12,lon=102.52,height=3045.10
2022-12-28 18:45:14 provname=甘肃,obtid=52797,obtname=景泰,lat=37.11,lon=104.03,height=1630.90
